Life Stage,Stock,Fixed Income,Cryptocurrency
Early Career (10Y),0.8075,0.1425,0.05
Mid Career (10Y),0.7125,0.2375,0.05
Pre-Retirement (10Y),0.6175,0.3325,0.05
